332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	50
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	49
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	64
405	45
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	24
417	46
418	36
419	47
420	56
421	53
422	53
423	72
424	65
425	50
426	72
427	26
428	38
429	36
430	57
431	40
432	24
433	53
434	53
435	48
436	16
437	73
438	71
439	66
440	61
441	62
442	53
443	59
444	40
445	49
446	50
447	47
448	60
449	51
450	61
451	58
452	57
453	28
454	53
455	62
456	56
457	52
458	47
459	61
460	39
461	64
462	43
463	33
